Individual,Population
NA19919,1
NA19902,1
NA19916,1
NA19914,1
NA20287,1
NA20333,1
NA20344,1
NA19835,1
NA20335,1
NA19904,1
NA19917,1
NA19701,1
NA20360,1
NA20129,1
NA19704,1
NA20358,1
NA19714,1
NA20340,1
NA20277,1
NA20316,1
NA20363,1
NA19819,1
NA20297,1
NA19909,1
NA19836,1
NA19834,1
NA20317,1
NA20345,1
NA20302,1
NA19818,1
NA20290,1
NA19625,1
NA20295,1
NA20332,1
NA19700,1
NA20291,1
NA20342,1
NA20346,1
NA20334,1
NA20356,1
NA20292,1
NA20350,1
NA19703,1
NA20279,1
NA20359,1
NA20301,1
NA20349,1
NA20294,1
NA20337,1
NA20357,1
NA19900,1
NA19712,1
NA20288,1
NA20128,1
NA20348,1
NA20289,1
NA20322,1
NA19711,1
NA20336,1
NA19985,1
NA20347,1
NA19702,1
NA19915,1
NA19708,1
NA20341,1
NA20126,1
NA20278,1
NA20364,1
NA19918,1
NA20127,1
NA19828,1
NA07055,2
NA12814,2
NA10847,2
NA12056,2
NA10863,2
NA12006,2
NA12145,2
NA12763,2
NA07357,2
NA10831,2
NA07000,2
NA11832,2
NA06991,2
NA11840,2
NA12802,2
NA12813,2
NA12761,2
NA10830,2
NA10855,2
NA06994,2
NA11993,2
NA11995,2
NA12891,2
NA12864,2
NA12751,2
NA10839,2
NA10861,2
NA12005,2
NA12234,2
NA07345,2
NA07029,2
NA12892,2
NA07048,2
NA12248,2
NA10846,2
NA12801,2
NA12872,2
NA12155,2
NA06993,2
NA11830,2
NA12865,2
NA10838,2
NA12249,2
NA12057,2
NA10860,2
NA12812,2
NA11881,2
NA11994,2
NA12873,2
NA12815,2
NA12740,2
NA12752,2
NA12043,2
NA12264,2
NA12753,2
NA12707,2
NA11839,2
NA10859,2
NA12875,2
NA12156,2
NA07056,2
NA12044,2
NA11992,2
NA11829,2
NA07022,2
NA12239,2
NA12154,2
NA12762,2
NA12716,2
NA12878,2
